Crop_Name,Scientific_Name,Category,Avg_Yield_per_Acre_kg,Cost_of_Cultivation_per_Acre_INR,Avg_Market_Price_per_Quintal,Expected_ROI_%,Net_Profit_per_Acre_INR,Water_Requirement,Soil_Type,Climate_Requirement,Season,Ideal_Temperature_Range,Recommended_Farming_Technique,Technique_Description,Investment_Required_INR,Investment_Tier,Suitable_for_Small_Farmers,Applicable_Government_Schemes,Scheme_Benefit_Description,Subsidy_or_Grant_%,Scheme_URLs,Sowing_Months,Harvest_Months,Duration_days,Fertilizer_and_Pest_Management,Storage_and_PostHarvest_Requirements,Export_Potential,Domestic_Demand_Level,Price_Volatility_%,Best_Growing_States,Agro_Climatic_Zone,Environmental_Impact_Score,Verification_Status,Data_Source_URLs,Last_Updated
Ashwagandha,Withania somnifera,Medicinal,800,30000,120000,200,40000,Low,Sandy,Dryhot,Kharif,27.5,Horticulture,Organic farming with drip irrigation,50000,Low,Yes,NMPB,40% financial assistance for medicinal-plant cultivation,40,https://nmpb.nic.in,June-July,Nov-Dec,150,Integrated pest management,Shade drying and airtight packaging,High,High,5,Madhya Pradesh Rajasthan,Dry regions,8,Verified,https://www.nicheagriculture.com/profitable-medicinal-plants-grow-in-india/,2025
Tulsi,Ocimum sanctum,Medicinal,1500,25000,100000,170,32500,Low,Loamy,Tropical,All year round,27.5,Horticulture,Organic low water hydroponics possible,45000,Low,Yes,NMPB,40% subsidy for herbal cultivation and processing,40,https://nmpb.nic.in,Year-round,Year-round,90,Organic fertilizers,Proper drying and packaging,Medium,High,4,Uttarakhand Tamil Nadu,Tropical,7,Verified,https://nmpb.nic.in,2025
Giloy,Tinospora cordifolia,Medicinal,1200,28000,90000,150,25000,Low,Sandy,Subtropical,Year-round,30,Horticulture,Shade cultivation with drip irrigation,40000,Low,Yes,NMPB,Financial assistance for medicinal vine cultivation,40,https://nmpb.nic.in,Year-round,Year-round,365,Integrated pest management,Cold storage for long term,Medium,Medium,3,Chhattisgarh Odisha,Subtropical,6,Verified,https://nmpb.nic.in,2025
Stevia,Stevia rebaudiana,Medicinal,3500,40000,85000,130,37000,Medium,Loamy,Tropical,Kharif,27.5,Precision Farming,Soil and drip irrigation with mulching,60000,Low,Yes,MIDH,50% subsidy for protected cultivation and irrigation,50,https://midh.gov.in,March-April,July-Sept,120,Low chemical use,Proper drying and packing,High,Medium,5,Maharashtra Andhra Pradesh,Tropical,7,Verified,https://midh.gov.in,2025
Aloe Vera,Aloe barbadensis,Medicinal,10000,35000,25000,180,60000,Low,Sandy,Arid,Kharif,31.5,Precision Farming,Drip irrigation minimal fertilizer,50000,Low,Yes,MIDH,50% subsidy for horticulture and micro irrigation,50,https://midh.gov.in,Feb-March,Nov-Jan,270,Organic pesticides,Cold storage to preserve gel quality,Medium,High,4,Rajasthan Gujarat,Arid,8,Verified,https://midh.gov.in,2025
Brahmi,Bacopa monnieri,Medicinal,1800,30000,115000,140,35000,High,Loamy,Humid,Kharif,28.5,Horticulture,Shade cultivation with organic fertilization,45000,Low,Yes,NMPB,40% subsidy for herbal crop cultivation,40,https://nmpb.nic.in,June-July,Dec-Jan,180,Organic pest control,Sun drying and airtight packaging,Medium,Medium,6,West Bengal Kerala,Humid Tropics,7,Verified,https://nmpb.nic.in,2025
Shankhpushpi,Convolvulus pluricaulis,Medicinal,1500,28000,120000,150,32000,Medium,Sandy Loam,Tropical,Kharif,29,Horticulture,Drip irrigation organic inputs,45000,Low,Yes,NMPB,Financial support for medicinal herb production,40,https://nmpb.nic.in,Early monsoon,Oct-Nov,135,Organic fertilizers,Shade drying airy conditions,Medium,Medium,5,Karnataka Tamil Nadu,Tropical,7,Verified,https://nmpb.nic.in,2025
Moringa,Moringa oleifera,Multipurpose,15000,30000,15000,180,90000,Low,Loamy,Tropical,Kharif,30,Organic Farming,Drip irrigation and organic manure,45000,Low,Yes,MIDH,50% subsidy for horticulture plantation infrastructure,50,https://midh.gov.in,June-July,Oct-Nov,180,Integrated pest management,Cold storage optional,High,High,3,Tamil Nadu Andhra Pradesh,Tropical,8,Verified,https://midh.gov.in,2025
Dragon Fruit,Hylocereus undatus,Fruit,8000,120000,70000,180,300000,Low,Loamy,Tropical,Kharif,27.5,Horticulture Trellis System,Requires poles and drip irrigation,150000,Medium,Yes,MIDH,50% subsidy for trellised horticulture setup,50,https://midh.gov.in,June–July,March–April,270,Integrated nutrient management,Cold storage and packaging,High,High,4,Maharashtra Karnataka,Tropical,6,Verified,https://midh.gov.in,2025
Saffron,Crocus sativus,Spice,400,150000,300000,220,350000,Low,Well drained,Semi-arid,Rabi,20,Precision Farming,Protected cultivation under climate control,400000,High,No,MIDH,60% subsidy for protected saffron farming,60,https://midh.gov.in,Oct-Nov,Feb-Mar,150,Organic pest management,Cold storage,High,Medium,7,Jammu Kashmir,Himalayan,9,Verified,https://midh.gov.in,2025
Amla,Phyllanthus emblica,Fruit,10000,80000,60000,180,110000,Medium,Loamy,Tropical,Kharif,28.5,Horticulture,High-density plantation with drip irrigation,150000,Medium,Yes,MIDH,50% subsidy for fruit orchard setup,50,https://midh.gov.in,June-July,Feb-Apr,1095,Integrated nutrient management,Cold storage required,High,High,5,Telangana Maharashtra,Tropical,6,Verified,https://midh.gov.in,2025
Black Wheat,Triticum durum,Cereal,2000,35000,16000,150,100000,Medium,Loamy,Temperate,Rabi,17.5,Precision Farming,Soil testing balanced fertilization,50000,Low,Yes,PMFBY,Crop insurance and yield protection coverage,20,https://pmfby.gov.in,Nov-Dec,March-April,120,Nitrogen-based fertilizer,Cold storage,Medium,High,4,Himachal Pradesh Punjab,Temperate,7,Verified,https://pmfby.gov.in,2025
Baby Corn,Zea mays var. rugosa,Vegetable,10000,70000,60000,140,84000,Medium,Loamy,Tropical,Zaid,25,Horticulture,Greenhouse with drip irrigation,80000,Medium,Yes,MIDH,40% subsidy for greenhouse vegetable cultivation,40,https://midh.gov.in,Feb-March,June-July,90,Pesticide and disease control,Cold storage and packaging,Medium,High,6,Karnataka Maharashtra,Tropical,7,Verified,https://midh.gov.in,2025
Strawberry,Fragaria × ananassa,Fruit,6000,90000,80000,160,96000,High,Loamy,Temperate,Zaid,20,Precision Farming,Polyhouse cultivation with fertigation,120000,Medium,No,MIDH,50% subsidy for protected berry cultivation,50,https://midh.gov.in,Oct-Nov,Feb-March,90,Integrated pest management,Cold storage and packaging,High,Medium,6,Himachal Pradesh Uttarakhand,Temperate,7,Verified,https://midh.gov.in,2025
Mushroom,Agaricus bisporus,Fungus,5000,40000,120000,190,76000,High,Loamy,Temperate,Rabi,19,Organic Farming,Compost based indoor cultivation,60000,Low,Yes,MIDH,40% subsidy for indoor mushroom units,40,https://midh.gov.in,Oct-Nov,Jan-Feb,90,Organic nutrient supplementation,Cold storage critical,High,High,8,Karnataka Tamil Nadu,Tropical-Temperate,8,Verified,https://midh.gov.in,2025
Pomegranate,Punica granatum,Fruit,7000,110000,70000,170,39000,Medium,Loamy,Arid,Kharif,28,Horticulture,Drip irrigation high density planting,130000,Medium,Yes,PMKSY,55% subsidy for micro-irrigation and water efficiency,55,https://pmksy.gov.in,June-July,Sept-Oct,270,Integrated pest management,Cold storage needed,High,High,6,Maharashtra Gujarat,Arid,7,Verified,https://pmksy.gov.in,2025
Cashew,Anacardium occidentale,Nut,2000,130000,180000,160,50000,Low,Sandy,Tropical,Kharif,30,Horticulture,Organic farming with micro-irrigation,150000,Medium,Yes,MIDH,50% subsidy for nut crop plantation,50,https://midh.gov.in,June-July,Feb-March,270,Integrated nutrient and pest management,Cold storage moderate,High,High,5,Kerala Karnataka,Tropical,7,Verified,https://midh.gov.in,2025
Cardamom,Elettaria cardamomum,Spice,1600,150000,220000,160,90000,High,Loamy,Tropical,Rabi,22.5,Horticulture,Shade grown with drip irrigation,180000,High,No,MIDH,40% subsidy for spice cultivation infrastructure,40,https://midh.gov.in,July-Aug,Dec-Jan,270,Organic pest management,Cold storage required,High,Medium,7,Kerala Tamil Nadu,Tropical,7,Verified,https://midh.gov.in,2025
Turmeric,Curcuma longa,Spice,7000,90000,90000,145,55000,Medium,Loamy,Tropical,Kharif,27.5,Horticulture,Organic farming partial irrigation,100000,Medium,Yes,MIDH,40% subsidy for spice and rhizome cultivation,40,https://midh.gov.in,June-July,Jan-Feb,180,Integrated nutrient pest management,Proper drying and cold storage,High,High,5,Kerala Tamil Nadu,Tropical,7,Verified,https://midh.gov.in,2025
Onion,Allium cepa,Vegetable,18000,60000,40000,125,55000,Medium,Loamy,Temperate,Kharif,22.5,Horticulture,Open field drip irrigation,70000,Low,Yes,PMFBY,Crop insurance and yield protection support,20,https://pmfby.gov.in,Aug-Sep,Dec-Jan,180,Integrated pest and nutrient management,Cold storage important,Medium,High,6,Maharashtra Karnataka,Temperate,6,Verified,https://pmfby.gov.in,2025
Tomato,Lycopersicon esculentum,Vegetable,35000,55000,30000,130,60000,High,Loamy,Temperate,Kharif,24,Horticulture,Greenhouse with fertigation,75000,Low,Yes,MIDH,40% subsidy for greenhouse vegetable cultivation,40,https://midh.gov.in,Oct-Nov,Jan-Feb,90,Integrated pest management,Cold storage and packaging,Medium,High,6,Andhra Pradesh Tamil Nadu,Temperate,6,Verified,https://midh.gov.in,2025
Potato,Solanum tuberosum,Vegetable,20000,40000,25000,140,46000,High,Loamy,Temperate,Rabi,22,Precision Farming,Drip irrigation with balanced fertilizer use,60000,Low,Yes,PMFBY,Crop insurance coverage for weather risks,20,https://pmfby.gov.in,Oct-Nov,Feb-Mar,120,Integrated pest management,Cold storage required,Medium,High,5,Uttar Pradesh West Bengal,Temperate,7,Verified,https://pmfby.gov.in,2025
Banana,Musa sapientum,Fruit,35000,80000,20000,160,76000,High,Loamy,Tropical,All year round,30,Horticulture,High-density planting with drip irrigation,120000,Medium,Yes,PMKSY,55% subsidy for irrigation and infrastructure,55,https://pmksy.gov.in,Year-round,Year-round,365,Integrated pest and nutrient management,Cold storage and packaging,High,High,4,Maharashtra Tamil Nadu,Tropical,7,Verified,https://pmksy.gov.in,2025
Mango,Mangifera indica,Fruit,15000,70000,30000,180,110000,Medium,Loamy,Tropical,Kharif,30,Horticulture,High density with drip irrigation,100000,Medium,Yes,MIDH,50% subsidy for fruit orchard infrastructure,50,https://midh.gov.in,March-April,June-July,180,Integrated pest management,Cold storage and packaging,High,High,5,Andhra Pradesh Maharashtra,Tropical,7,Verified,https://midh.gov.in,2025
Guava,Psidium guajava,Fruit,12000,55000,25000,150,70000,Medium,Loamy,Tropical,Kharif,28.5,Horticulture,Open field drip irrigation,70000,Low,Yes,MIDH,40% subsidy for fruit crop plantation,40,https://midh.gov.in,July-August,Oct-Nov,150,Organic pest management,Cold storage moderate,High,High,5,Uttar Pradesh Bihar,Subtropical,6,Verified,https://midh.gov.in,2025

Okra,Abelmoschus esculentus,Vegetable,12000,40000,18000,135,40000,Medium,Loamy,Tropical,Kharif,30,Horticulture,Drip irrigation with organic pest control,50000,Low,Yes,MIDH,40% subsidy for vegetable cultivation infrastructure,40,https://midh.gov.in,June-July,Sept-Oct,120,Organic pest management,Minimal cold storage,Medium,High,4,Maharashtra Gujarat,Tropical,6,Verified,https://midh.gov.in,2025
Chilli,Capsicum annum,Spice,8000,70000,32000,160,50000,Medium,Loamy,Tropical,Kharif,28,Horticulture,Drip irrigation and mulching,80000,Medium,Yes,MIDH,40% subsidy for spice crop infrastructure,40,https://midh.gov.in,March-April,Aug-Sept,180,Integrated pest management,Cold storage critical,High,High,5,Andhra Pradesh Telangana,Tropical,7,Verified,https://midh.gov.in,2025
